video,label,class_index,frames,features,sequence_file
Bear.mp4,Bear,0,30,258,data\processed\sequences\Bear.npy
Break.mp4,Break,1,30,258,data\processed\sequences\Break.npy
Brinjal.mp4,Brinjal,2,30,258,data\processed\sequences\Brinjal.npy
Budget.mp4,Budget,3,30,258,data\processed\sequences\Budget.npy
Busy.mp4,Busy,4,30,258,data\processed\sequences\Busy.npy
Cabbage.mp4,Cabbage,5,30,258,data\processed\sequences\Cabbage.npy
Carrot.mp4,Carrot,6,30,258,data\processed\sequences\Carrot.npy
Cauliflower.mp4,Cauliflower,7,30,258,data\processed\sequences\Cauliflower.npy
Chilli.mp4,Chilli,8,30,258,data\processed\sequences\Chilli.npy
Clean.mp4,Clean,9,30,258,data\processed\sequences\Clean.npy
Close.mp4,Close,10,30,258,data\processed\sequences\Close.npy
Come.mp4,Come,11,30,258,data\processed\sequences\Come.npy
Cook.mp4,Cook,12,30,258,data\processed\sequences\Cook.npy
Crocodile.mp4,Crocodile,13,30,258,data\processed\sequences\Crocodile.npy
Cry.mp4,Cry,14,30,258,data\processed\sequences\Cry.npy
Cucumber.mp4,Cucumber,15,30,258,data\processed\sequences\Cucumber.npy
Deer.mp4,Deer,16,30,258,data\processed\sequences\Deer.npy
Drink.mp4,Drink,17,30,258,data\processed\sequences\Drink.npy
Elephant.mp4,Elephant,18,30,258,data\processed\sequences\Elephant.npy
Exam.mp4,Exam,19,30,258,data\processed\sequences\Exam.npy
Fedup.mp4,Fedup,20,30,258,data\processed\sequences\Fedup.npy
Fever.mp4,Fever,21,30,258,data\processed\sequences\Fever.npy
Giraffe.mp4,Giraffe,22,30,258,data\processed\sequences\Giraffe.npy
Give.mp4,Give,23,30,258,data\processed\sequences\Give.npy
Good afternoon.mp4,Good afternoon,24,30,258,data\processed\sequences\Good afternoon.npy
Good morning.mp4,Good morning,25,30,258,data\processed\sequences\Good morning.npy
Hello.mp4,Hello,26,30,258,data\processed\sequences\Hello.npy
Hug.mp4,Hug,27,30,258,data\processed\sequences\Hug.npy
Injury.mp4,Injury,28,30,258,data\processed\sequences\Injury.npy
Interview.mp4,Interview,29,30,258,data\processed\sequences\Interview.npy
Jump.mp4,Jump,30,30,258,data\processed\sequences\Jump.npy
Karnataka.mp4,Karnataka,31,30,258,data\processed\sequences\Karnataka.npy
Key.mp4,Key,32,30,258,data\processed\sequences\Key.npy
Knife.mp4,Knife,33,30,258,data\processed\sequences\Knife.npy
Lemon.mp4,Lemon,34,30,258,data\processed\sequences\Lemon.npy
Lion.mp4,Lion,35,30,258,data\processed\sequences\Lion.npy
Man.mp4,Man,36,30,258,data\processed\sequences\Man.npy
Maths.mp4,Maths,37,30,258,data\processed\sequences\Maths.npy
Maybe.mp4,Maybe,38,30,258,data\processed\sequences\Maybe.npy
Monkey.mp4,Monkey,39,30,258,data\processed\sequences\Monkey.npy
Onion.mp4,Onion,40,30,258,data\processed\sequences\Onion.npy
Peacock.mp4,Peacock,41,30,258,data\processed\sequences\Peacock.npy
Pigeon.mp4,Pigeon,42,30,258,data\processed\sequences\Pigeon.npy
Pour.mp4,Pour,43,30,258,data\processed\sequences\Pour.npy
Radish.mp4,Radish,44,30,258,data\processed\sequences\Radish.npy
Sparrow.mp4,Sparrow,45,30,258,data\processed\sequences\Sparrow.npy
Still.mp4,Still,46,30,258,data\processed\sequences\Still.npy
Switch.mp4,Switch,47,30,258,data\processed\sequences\Switch.npy
Tea.mp4,Tea,48,30,258,data\processed\sequences\Tea.npy
Temple.mp4,Temple,49,30,258,data\processed\sequences\Temple.npy
Thank you.mp4,Thank you,50,30,258,data\processed\sequences\Thank you.npy
Tiger.mp4,Tiger,51,30,258,data\processed\sequences\Tiger.npy
Turtle.mp4,Turtle,52,30,258,data\processed\sequences\Turtle.npy
Umbrella.mp4,Umbrella,53,30,258,data\processed\sequences\Umbrella.npy
Uncle.mp4,Uncle,54,30,258,data\processed\sequences\Uncle.npy
Vegetables.mp4,Vegetables,55,30,258,data\processed\sequences\Vegetables.npy
Volcano.mp4,Volcano,56,30,258,data\processed\sequences\Volcano.npy
What is your Name.mp4,What is your Name,57,30,258,data\processed\sequences\What is your Name.npy
Wife.mp4,Wife,58,30,258,data\processed\sequences\Wife.npy
Writer.mp4,Writer,59,30,258,data\processed\sequences\Writer.npy
Wrong.mp4,Wrong,60,30,258,data\processed\sequences\Wrong.npy
